Location,Batch_no,Tin_no,Sample_ID,Lab_dupe,Collection_date,TSS_Analysis_date,Dirty_weight_date,volume_mL,clean_dry_mass_g,dirty_dry_mass_1-g,dirty_dry_mass_2_g,sediment_mass_mg,TSS_mg/L,pH,EC_mS/cm,pH_EC_datetime,Sample_type,Lab_technicians,Out_of_Hold_Time,BAD_GOOD,Notes,,,,
,10,64,AV-CT2-01-OT-LC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.2243,1.2679,,43.6,1453.333333,8.03,0.753,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,10,65,AV-ST2-01-OT-ISC-4,,6/15/2023,6/21/2023,6/25/2023,30,1.2088,1.3054,,96.6,3220,7.93,0.825,,,Person A,FALSE,,"potentially biased by first sample sucking up mud, which would not be found in the duplicate sample once the isco sucked it up initially; ph, EC collected by Jake",,,,
,10,66,AV-ST2-01-OT-ISC-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.2156,1.2745,,58.9,1963.333333,7.99,0.82,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,10,67,AV-01-IN-GB-4,,6/15/2023,6/21/2023,6/25/2023,30,1.2086,1.2535,,44.9,1496.666667,8.03,0.974,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,10,68,AV-01-IN-GB-4-D,,6/15/2023,6/21/2023,6/25/2023,30,1.1993,1.2432,,43.9,1463.333333,8.03,0.964,,,Person A,FALSE,,"ph, EC collected by Jake",,,,
,11,69,Stock Solution,,6/27/2023,6/27/2023,6/28/2023,30,1.2182,1.2214,,3.2,106.6666667,,,,,Person A,FALSE,Good,,,,,
,11,70,DI,,6/27/2023,6/27/2023,6/28/2023,30,1.2026,1.2026,,0,0,,,,,Person A,FALSE,Good,,,,,
,11,71,BT-RVMID-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.1927,1.1934,,0.7,23.33333333,8.69,0.345,6/28/23 14:25,,Person A,FALSE,,,,,,
,11,72,BT-RVA-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.2069,1.2074,,0.5,16.66666667,8.14,0.318,6/28/23 14:25,,Person A,FALSE,,,,,,
,11,73,BT-RVB-01-GB-4,,6/26/2023,6/27/2023,6/28/2023,30,1.2197,1.22,,0.3,10,8.03,0.339,6/28/23 14:25,,Person A,FALSE,,,,,,
